id,locationId,name,status,address/street,address/city,address/state,address/zip,address/countryId,address/country,address/regionId,address/region,gps/latitude,gps/longitude,dateOpened,stallCount,counted,elevationMeters,powerKilowatt,solarCanopy,battery,statusDays,urlDiscuss, Region
3442,olbiasupercharger,"Olbia, Italy",OPEN,Via Ragazzi del '99,Olbia,,07026,113,Italy,101,Europe,40.9068915,9.5159706,2021,4,true,16,250,false,false,0,true,Sardegna
3359,cataniaitsupercharger,"Catania, Italy",OPEN,"Via Salvatore Quasimodo, 1",Catania,CT,95030,113,Italy,101,Europe,37.551544,15.066791,2021,4,true,282,250,false,false,0,true,Sicilia
3384,oristanoitsupercharger,"Oristano, Italy",OPEN,Centro Commerciale Via Dublino,Oristano,OR,09170,113,Italy,101,Europe,39.8901246,8.5997914,2021,4,true,8,150,false,false,0,true,Sardegna
3311,brindisisupercharger,"Brindisi, Italy",OPEN,At the Centro Commerciale Le Colonne shopping area along SS7,Brindisi,,72100,113,Italy,101,Europe,40.6198604,17.9026072,2021,8,true,31,250,false,false,0,true,Puglia
2792,carsolioricolasupercharger,"Carsoli Oricola, Italy",OPEN,"Via Tiburtina, Km 68,500",Oricola,Provincia de L'Aquila,67063,113,Italy,101,Europe,42.082194,13.060417,2021,8,true,594,150,false,false,0,true,Abruzzo
2239,addasudsupercharger,"Adda Sud, Italy",OPEN,Adda Sud,Caravaggio,Provincia di Bergamo,24043,113,Italy,101,Europe,45.510579,9.635503,2021,4,true,120,250,false,false,0,true,Lombardia
2240,addanordsupercharger,"Adda Nord, Italy",OPEN,Adda Nord,Caravaggio,Provincia di Bergamo,24043,113,Italy,101,Europe,45.511805,9.63561,2021,4,true,120,250,false,false,0,true,Lombardia
2589,romewestsupercharger,"Rome West, Italy",OPEN,Via Salvatore Rebecchini 145,Roma,,00148,113,Italy,101,Europe,41.814475,12.399297,2021,12,true,9,250,false,false,0,true,Lazio
2523,aresesupercharger,"Arese, Italy",OPEN,Viale Giuseppe Eugenio Luraghi 11,Arese,Milano,20020,113,Italy,101,Europe,45.563508,9.052541,2020,20,true,175,250,false,false,0,true,Lombardia
2537,grossetoitsupercharger,"Grosseto, Italy",OPEN,snc Via Ecuador 58100,Grosseto,,,113,Italy,101,Europe,42.789258,11.115675,2020,8,true,12,150,false,false,0,false,Toscana
